"平成27年秋期　問23 1問目／選択範囲の問題数675問","特許権に関する記述のうち，適切なものはどれか。","","A社が特許を出願するより前にB社が独自に開発して日本国内で発売した製品は，A社の特許権の侵害にならない。","組込み機器におけるハードウェアは特許権で保護されるが，ソフトウェアは保護されない。","審査を受けて特許権を取得した後に，特許権が無効となることはない。","先行特許と同一の技術であっても，独自に開発した技術であれば特許権の侵害にならない。","A"
"平成23年秋期　問13 123問目／選択範囲の問題数675問","ルートキット(rootkit)を説明したものはどれか。","","OSの中核であるカーネル部分の脆(ぜい)弱性を分析するツール","コンピュータがウイルスやワームに感染していないことをチェックするツール","コンピュータやルータのアクセス可能な通信ポートを外部から調査するツール","不正侵入してOSなどに不正に組み込んだものを隠蔽する機能をまとめたツール","E"
"平成28年秋期　問24 124問目／選択範囲の問題数675問","JIS Q 20000-1で定義されるインシデントに該当するものはどれか。","","ITサービス応答時間の大幅な超過","ITサービスの新人向け教育の依頼","ITサービスやシステムの機能，使い方に対する問合せ","新設営業所へのITサービス提供の要求","A"
"令和2年秋期　問19 125問目／選択範囲の問題数675問","リモートアクセス環境において，認証情報やアカウンティング情報をやり取りするプロトコルはどれか。","","CHAP","PAP","PPTP","RADIUS","E"
"平成31年春期　問22 126問目／選択範囲の問題数675問","問題を引き起こす可能性があるデータを大量に入力し，そのときの応答や挙動を監視することによって，ソフトウェアの脆弱性を検出するテスト手法はどれか。","","限界値分析","実験計画法","ファジング","ロードテスト","U"
"平成25年春期　問1 127問目／選択範囲の問題数675問","APT(Advanced Persistent Threats)の説明はどれか。","","攻撃者はDoS攻撃及びDDoS攻撃を繰り返し組み合わせて，長期間にわたって特定組織の業務を妨害する。","攻撃者は興味本位で場当たり的に，公開されている攻撃ツールや脆弱性検査ツールを悪用した攻撃を繰り返す。","攻撃者は特定の目的をもち，特定組織を標的に複数の手法を組み合わせて気付かれないよう執拗(よう)に攻撃を繰り返す。","攻撃者は不特定多数への感染を目的として，複数の攻撃を組み合わせたマルウェアを継続的にばらまく。","U"
"平成31年春期　問12 128問目／選択範囲の問題数675問","VLAN機能をもった1台のレイヤ3スイッチに複数のPCを接続している。スイッチのポートをグループ化して複数のセグメントに分けると，スイッチのポートをセグメントを分けない場合に比べて，どのようなセキュリティ上の効果が得られるか。","","スイッチが，PCから送出されるICMPパケットを全て遮断するので，PC間のマルウェア感染のリスクを低減できる。","スイッチが，PCからのブロードキャストパケットの到達範囲を制限するので，アドレス情報の不要な流出のリスクを低減できる。","スイッチが，PCのMACアドレスから接続可否を判別するので，PCの不正接続のリスクを低減できる。","スイッチが，物理ポートごとに，決まったIPアドレスをもつPCの接続だけを許可するので，PCの不正接続のリスクを低減できる。","I"
"平成21年秋期　問3 129問目／選択範囲の問題数675問","SMTP-AUTH認証はどれか。","","SMTPサーバに電子メールを送信する前に，電子メールを受信し，その際にパスワード認証が行われたクライアントのIPアドレスに対して，一定時間だけ電子メールの送信を許可する。","クライアントがSMTPサーバにアクセスしたときに利用者認証を行い，許可された利用者だけから電子メールを受け付ける。","サーバはCAの公開鍵証明書をもち，クライアントから送信されたCAの署名付きクライアント証明書の妥当性を確認する。","電子メールを受信する際の認証情報を秘匿できるように，パスワードからハッシュ値を計算して，その値で利用者認証を行う。","I"
"令和元年秋期　問15 130問目／選択範囲の問題数675問","攻撃者に脆弱性に関する専門の知識がなくても，OSやアプリケーションソフトウェアの脆弱性を悪用した攻撃ができる複数のプログラムや管理機能を統合したものはどれか。","","Exploit Kit","iLogScanner","MyJVN","Remote Access Tool","A"
"平成27年春期　問20 131問目／選択範囲の問題数675問","HTTPのヘッダ部で指定するものはどれか。","","HTMLバージョン情報(DOCTYPE宣言)","POSTリクエストのエンティティボディ(POSTデータ)","WebサーバとWebブラウザ間の状態を管理するクッキー(Cookie)","Webページのタイトル(<TITLE>タグ)","U"
"平成26年春期　問25 132問目／選択範囲の問題数675問","システム監査報告書に記載された改善勧告に対して，被監査部門から提出された改善計画を経営者がITガバナンスの観点から評価する際の方針のうち，適切なものはどれか。","","1年以内に実現できる改善を実施する。","経営資源の状況を踏まえて改善を実施する。","情報システムの機能面の改善に絞って実施する。","被監査部門の情報化予算の範囲内で改善を実施する。","I"
"平成30年春期　問23 133問目／選択範囲の問題数675問","エクストリームプログラミング(XP:eXtreme Programming)における""テスト駆動開発""の説明はどれか。","","最初のテストで，なるべく多くのバグを摘出する。","テストケースの改善を繰り返す。","テストでのカバレージを高めることを重視する。","プログラムを書く前にテストケースを作成する。","E"
"平成23年特別　問13 134問目／選択範囲の問題数675問","経済産業省""ソフトウェア管理ガイドライン""に定められた，ソフトウェアを使用する法人，団体などが実施すべき基本的事項の記述のうち，適切なものはどれか。","","ウイルスからソフトウェアを保護するため，関係法令や使用許諾契約などについて利用者の教育啓発を行う。","セキュリティ対策に責任を負うセキュリティ管理責任者を任命し，適切な管理体制を整備する。","ソフトウェアの違法複製などの有無を確認するため，すべてのソフトウェアを対象として，その使用状況についての監査を実施する。","ソフトウェアの脆弱性を突いた不正アクセスから保護するため，ソフトウェアの使用手順や管理方法などを定めたソフトウェア管理規則を制定する。","U"
"平成21年春期　問9 135問目／選択範囲の問題数675問","DMZ上の公開Webサーバで入力データを受け付け，内部ネットワークのDBサーバにそのデータを蓄積するシステムがある。DBサーバへの不正侵入対策の一つとして，ファイアウォールの最も有効な設定はどれか。","","DBサーバの受信ポートを固定にし，WebサーバからDBサーバの受信ポートへ発信された通信だけをファイアウォールで通す。","DMZからDBサーバあての通信だけをファイアウォールで通す。","Webサーバの発信ポートは任意のポート番号を使用し，ファイアウォールでは，いったん終了した通信と同じ発信ポートを使った通信を拒否する。","Webサーバの発信ポートを固定し，その発信ポートの通信だけをファイアウォールで通す。","A"
"平成25年春期　問22 136問目／選択範囲の問題数675問","既存システムを基に，新システムのモデル化を行う場合のDFD作成の手順として，適切なものはどれか。","","現物理モデル→現論理モデル→新物理モデル→新論理モデル","現物理モデル→現論理モデル→新論理モデル→新物理モデル","現論理モデル→現物理モデル→新物理モデル→新論理モデル","現論理モデル→現物理モデル→新論理モデル→新物理モデル","I"
"平成25年秋期　問4 137問目／選択範囲の問題数675問","無線LANにおけるWPA2の特徴はどれか。","","AHとESPの機能によって認証と暗号化を実現する。","暗号化アルゴリズムにAESを採用したCCMP(Counter-mode with CBC-MAC Protocol)を使用する。","端末とアクセスポイントの間で通信を行う際に，SSL Handshake Protocolを使用して，お互いが正当な相手かどうかを認証する。","利用者が設定する秘密鍵と，製品で生成するIV(Initialization Vector)とを連結した数字を基に，データをフレームごとにRC4で暗号化する。","I"
"平成30年秋期　問12 138問目／選択範囲の問題数675問","HTTP Strict Transport Security(HSTS)の動作はどれか。","","HTTP over TLS(HTTPS)によって接続しているとき，EV SSL証明書であることを利用者が容易に識別できるように，Webブラウザのアドレス表示部分を緑色に表示する。","Webサーバからコンテンツをダウンロードするとき，どの文字列が秘密情報かを判定できないように圧縮する。","WebサーバとWebブラウザとの間のTLSのハンドシェイクにおいて，一度確立したセッションとは別の新たなセッションを確立するとき，既に確立したセッションを使って改めてハンドシェイクを行う。","Webサイトにアクセスすると，Webブラウザは，以降の指定された期間，当該サイトには全てHTTPSによって接続する。","E"
"平成29年秋期　問15 139問目／選択範囲の問題数675問","スパムメールの対策として，宛先ポート番号25のメールに対してISPが実施するOP25Bの例はどれか。","","ISP管理外のネットワークからの通信のうち，スパムメールのシグネチャに該当するものを遮断する。","動的IPアドレスを割り当てたネットワークからISP管理外のネットワークへの直接の通信を遮断する。","メール送信元のメールサーバについてDNSの逆引きができない場合，そのメールサーバからの通信を遮断する。","メール不正中継の脆弱性をもつメールサーバからの通信を遮断する。","I"
"平成31年春期　問11 140問目／選択範囲の問題数675問","DNSキャッシュポイズニング攻撃に対して有効な対策はどれか。","","DNSサーバにおいて，侵入したマルウェアをリアルタイムに隔離する。","DNS問合せに使用するDNSヘッダ内のIDを固定せずにランダムに変更する。","DNS問合せに使用する送信元ポート番号を53番に固定する。","外部からのDNS問合せに対しては，宛先ポート番号53のものだけに応答する。","I"
"平成29年秋期　問2 141問目／選択範囲の問題数675問","PKIを構成するOCSPを利用する目的はどれか。","","誤って破棄してしまった秘密鍵の再発行処理の進捗状況を問い合わせる。","ディジタル証明書から生成した鍵情報の交換がOCSPクライアントとレスポンダの間で失敗した際，認証状態を確認する。","ディジタル証明書の失効情報を問い合わせる。","有効期限の切れたディジタル証明書の更新処理の進捗状況を確認する。","U"
"平成21年秋期　問24 142問目／選択範囲の問題数675問","雷サージによって通信回線に誘起された異常電圧から通信機器を保護するための装置はどれか。","","IDF(Intermediate Distributing Frame)","MCCB(Molded Case Circuit Breaker)","アレスタ","避雷針","U"
"平成31年春期　問14 143問目／選択範囲の問題数675問","インターネットサービスプロバイダ(ISP)が，OP25Bを導入する目的はどれか。","","ISP管理外のネットワークに対するISP管理下のネットワークからのICMPパケットによるDDoS攻撃を遮断する。","ISP管理外のネットワークに向けてISP管理下のネットワークから送信されるスパムメールを制限する。","ISP管理下のネットワークに対するISP管理外のネットワークからのICMPパケットによるDDoS攻撃を遮断する。","ISP管理下のネットワークに向けてISP管理外のネットワークから送信されるスパムメールを制限する。","I"
"平成25年秋期　問22 144問目／選択範囲の問題数675問","安全性と信頼性について，次の方針でプログラム設計を行う場合，その方針を表す用語はどれか。

""不特定多数の人が使用するプログラムには，自分だけが使用するプログラムに比べて，より多くのデータチェックの機能を組み込む。プログラムが処理できるデータの前提条件を文書に書いておくだけでなく，その前提条件を満たしていないデータが実際に入力されたときは，エラーメッセージを表示して再入力を促すようにプログラムを作る。""","","フールプルーフ","フェールセーフ","フェールソフト","フォールトトレラント","A"
"令和元年秋期　問5 145問目／選択範囲の問題数675問","ファイアウォールにおけるダイナミックパケットフィルタリングの特徴はどれか。","","IPアドレスの変換が行われるので，内部のネットワーク構成を外部から隠蔽できる。","暗号化されたパケットのデータ部を復号して，許可された通信かどうかを判断できる。","過去に通過したリクエストパケットに対応付けられる戻りのパケットを通過させることができる。","パケットのデータ部をチェックして，アプリケーション層での不正なアクセスを防止できる。","U"
"令和4年春期　問9 146問目／選択範囲の問題数675問","経済産業省とIPAが策定した""サイバーセキュリティ経営ガイドライン(Ver2.0)""に関する記述のうち，適切なものはどれか。","","経営者が，実施するサイバーセキュリティ対策を投資ではなくコストとして捉えることを重視し，コストパフォーマンスの良いサイバーセキュリティ対策をまとめたものである。","経営者が認識すべきサイバーセキュリティに関する原則と，経営者がリーダシップを発揮して取り組むべき項目を取りまとめたものである。","事業の規模やビジネスモデルによらず，全ての経営者が自社に適用すべきサイバーセキュリティ対策を定めたものである。","製造業のサプライチェーンを構成する小規模事業者の経営者が，サイバー攻撃を受けた際に行う事後対応をまとめたものである。","I"
"平成28年秋期　問8 147問目／選択範囲の問題数675問","CRYPTRECの主な活動内容はどれか。","","暗号技術の安全性，実装性及び利用実績の評価・検討を行う。","情報セキュリティ政策に係る基本戦略の立案，官民における統一的，横断的な情報セキュリティ政策の推進に係る企画などを行う。","組織の情報セキュリティマネジメントシステムについて評価し認証する制度を運用する。","認証機関から貸与された暗号モジュール試験報告書作成支援ツールを用いて暗号モジュールの安全性についての評価試験を行う。","A"
"平成27年春期　問7 148問目／選択範囲の問題数675問","JVN(Japan Vulnerability Notes)などの脆弱性対策ポータルサイトで採用されているCVE(Common Vulnerabilities and Exposures)識別子の説明はどれか。","","コンピュータで必要なセキュリティ設定項目を識別するための識別子である。","脆弱性を利用して改ざんされたWebサイトのスクリーンショットを識別するための識別子である。","製品に含まれる脆弱性を識別するための識別子である。","セキュリティ製品を識別するための識別子である。","U"
"平成24年秋期　問4 149問目／選択範囲の問題数675問","2011年に経済産業省が公表した""クラウドサービス利用のための情報セキュリティマネジメントガイドライン""が策定された目的について述べたものはどれか。","","JIS Q 27002の管理策を拡張し，クラウドサービス利用者が情報セキュリティ対策を円滑に行えるようにする。","クラウドサービス提供事業者に対して情報セキュリティ監査を実施する方法を利用者に提示する。","クラウドサービスの利用がもたらすセキュリティリスクをサービス提供事業者の視点で提示する。","セキュリティリスクの懸念の少ないクラウドサービス提供事業者を利用者が選択できるような格付け基準を提供する。","A"
"平成21年春期　問2 150問目／選択範囲の問題数675問","SSLを使用して通信を暗号化する場合，SSL-VPN装置に必要な条件はどれか。","","SSL-VPN装置は，1台1台を識別できるようにディジタル証明書を組み込む必要がある。","SSL-VPN装置は，装置メーカが用意した機器固有のディジタル証明書を組み込む必要がある。","SSL-VPN装置は，装置メーカから提供される認証局を利用する必要がある。","同一ドメイン内で複数拠点にSSL-VPN装置を設置する場合は，同一のディジタル証明書を利用する必要がある。","A"
"平成23年秋期　問19 151問目／選択範囲の問題数675問","電源オフ時にIPアドレスを保持することができない装置が，電源オン時に自装置のMACアドレスから自装置に割り当てられているIPアドレスを知るために用いるデータリンク層のプロトコルで，ブロードキャストを利用するものはどれか。","","ARP","DHCP","DNS","RARP","E"
"令和3年秋期　問16 152問目／選択範囲の問題数675問","IEEE802.1Xで使われるEAP-TLSが行う認証はどれか。","","CHAPを用いたチャレンジレスポンスによる利用者認証","あらかじめ登録した共通鍵によるサーバ認証と，時刻同期のワンタイムパスワードによる利用者認証","ディジタル証明書による認証サーバとクライアントの相互認証","利用者IDとパスワードによる利用者認証","U"
"平成28年春期　問5 153問目／選択範囲の問題数675問","ハッシュ関数の性質の一つである衝突発見困難性に関する記述のうち，適切なものはどれか。","","SHA-256の衝突発見困難性を示す，ハッシュ値が一致する二つのメッセージの探索に要する最大の計算量は，256の2乗である。","SHA-256の衝突発見困難性を示す，ハッシュ値の元のメッセージの探索に要する最大の計算量は，2の256乗である。","衝突発見困難性とは，ハッシュ値が与えられたときに，元のメッセージの探索に要する計算量の大きさによる，探索の困難性のことである。","衝突発見困難性とは，ハッシュ値が一致する二つのメッセージの探索に要する計算量の大きさによる，探索の困難性のことである。","E"
"平成29年秋期　問21 154問目／選択範囲の問題数675問","ビッグデータの解析に利用されるニューラルネットワークに関する記述のうち，適切なものはどれか。","","誤差逆伝播法(バックプロパゲーション)は，ニューラルネットワーク全体の重みを調整する手法であり，調整作業は入力層から出力層に向かって行われる。","サポートベクタマシンは機械学習に必要な機能を実現する装置のことであり，ニューラルネットワークで大量計算する際に利用される。","深層学習(ディープラーニング)に用いられるニューラルネットワークは，入力層と出力層の間に複数の中間層をもつモデルが利用される。","中間層を増やしたニューラルネットワークによる訓練データを用いた学習は，訓練データ以外の未知のデータに対しても高精度な正解が導け，これを過学習(オーバフィッティング)という。","U"
"平成21年春期　問19 155問目／選択範囲の問題数675問","ハードウェアの保守点検及び修理作業を実施するときに，運用管理者が実施すべき，事前又は事後に確認に関する説明のうち，適切なものはどれか。","","システムが自動的に回復処置を行った障害については，障害前後のエラーログが残っているので，障害原因や対応処置の報告ではなく，ログの分析結果を確認する。","定期保守時の点検項目は事前に分かっているので，事前と事後の確認は省略できるが，作業の開始と終了については，保守作業者に確認する。","予防保守を遠隔保守方式で行う場合，遠隔地のシステムへの影響は出ないので，作業内容などの事前確認は行わず，事後に作業実施結果を確認する。","臨時保守の場合，事前に保守作業者が障害の発生状況を確認したことを確認し，事後に障害原因や作業実施結果を確認する。","E"
"令和4年春期　問13 156問目／選択範囲の問題数675問","DNSSECで実現できることはどれか。","","DNSキャッシュサーバが得た応答中のリソースレコードが，権威DNSサーバで管理されているものであり，改ざんされていないことの検証","権威DNSサーバとDNSキャッシュサーバとの通信を暗号化することによる，ゾーン情報の漏えいの防止","長音""ー""と漢数字""一""などの似た文字をドメイン名に用いて，正規サイトのように見せかける攻撃の防止","利用者のURLの入力誤りを悪用して，偽サイトに誘導する攻撃の検知","A"
"平成29年秋期　問23 157問目／選択範囲の問題数675問","企業間で，商用目的で締結されたソフトウェアの開発請負契約書に著作権の帰属が記載されていない場合，著作権の帰属先として，適切なものはどれか。","","請負人，注文者のどちらにも帰属しない。","請負人と注文者が共有する。","請負人に帰属する。","注文者に帰属する。","U"
"平成22年春期　問4 158問目／選択範囲の問題数675問","S/KEYワンタイムパスワードに関する記述のうち，適切なものはどれか。","","クライアントは認証要求のたびに，サーバへシーケンス番号と種(Seed)からなるチャレンジデータを送信する。","サーバはクライアントから送られた使い捨てパスワードを演算し，サーバで記憶している前回の使い捨てパスワードと比較することによって，クライアントを認証する。","時刻情報を基にパスワードを生成し，クライアント，サーバ間でパスワードを時刻で同期させる。","利用者が設定したパスフレーズは1回ごとに使い捨てる。","I"
"令和4年春期　問3 159問目／選択範囲の問題数675問","暗号化装置における暗号化処理時の消費電力を測定するなどして，当該装置内部の秘密情報を推定する攻撃はどれか。","","キーロガー","サイドチャネル攻撃","スミッシング","中間者攻撃","I"
"令和3年秋期　問3 161問目／選択範囲の問題数675問","PQC(Post-Quantum Cryptography)はどれか。","","量子アニーリングマシンを用いて，回路サイズ，消費電力，処理速度を飛躍的に向上させた実装性能をもつ暗号方式","量子コンピュータを用いた攻撃に対しても，安全性を保つことができる暗号方式","量子コンピュータを用いて効率的に素因数分解を行うアルゴリズムによって，暗号を解読する技術","量子通信路を用いた鍵配送システムを利用し，大容量のデータを高速に送受信する技術","I"
"平成23年特別　問22 162問目／選択範囲の問題数675問","操作に不慣れな人も利用するシステムでは，間違ったデータが入力されることが想定される。誤入力が発生しても，プログラムやシステムを異常終了させずに，エラーメッセージを表示して次の操作を促すような設計を何というか。","","フールプルーフ","フェールセーフ","フェールソフト","フォールトトレランス","A"
"令和3年春期　問3 163問目／選択範囲の問題数675問","ハッシュ関数の性質の一つである衝突発見困難性に関する記述のうち，適切なものはどれか。","","SHA-256の衝突発見困難性を示す，ハッシュ値が一致する二つのメッセージの発見に要する最大の計算量は，256の2乗である。","SHA-256の衝突発見困難性を示す，ハッシュ値の元のメッセージの発見に要する最大の計算量は，2の256乗である。","衝突発見困難性とは，ハッシュ値が与えられたときに，元のメッセージの発見に要する計算量が大きいことによる，発見の困難性のことである。","衝突発見困難性とは，ハッシュ値が一致する二つのメッセージの発見に要する計算量が大きいことによる，発見の困難性のことである。","E"
"平成27年秋期　問4 164問目／選択範囲の問題数675問","PCなどに内蔵されるセキュリティチップ(TPM:Trusted Platform Module)がもつ機能はどれか。","","TPM間の共通鍵の交換","鍵ペアの生成","ディジタル証明書の発行","ネットワーク経由の乱数発信","I"
"平成22年春期　問17 165問目／選択範囲の問題数675問","IPsecに関する記述のうち，適切なものはどれか。","","IKEはIPsecの鍵交換のためのプロトコルであり，ポート番号80が使用される。","鍵交換プロトコルとして，HMAC-MD5が使用される。","トンネルモードを使用すると，元のヘッダまで含めて暗号化される。","ホストAとホストBとの間でIPsecによる通信を行う場合，認証や暗号化アルゴリズムを両者で決めるためにESPヘッダでなくAHヘッダを使用する。","U"
"平成26年秋期　問4 166問目／選択範囲の問題数675問","ディジタル証明書に関する記述のうち，適切なものはどれか。","","S/MIMEやTLSで利用するディジタル証明書の規格は，ITU-T X.400で規定されている。","ディジタル証明書は，SSL/TLSプロトコルにおいて通信データの暗号化のための鍵交換や通信相手の認証に利用されている。","認証局が発行するディジタル証明書は，申請者の秘密鍵に対して認証局がディジタル署名したものである。","ルート認証局は，下位の認証局の公開鍵にルート認証局の公開鍵でディジタル署名したディジタル証明書を発行する。","I"
"令和3年秋期　問4 167問目／選択範囲の問題数675問","シングルサインオンの実装方式の一つであるSAML認証の特徴はどれか。","","IdP(Identity Provider)がSP(Service Provider)の認証要求によって利用者認証を行い，認証成功後に発行されるアサーションをSPが検証し，問題がなければクライアントがSPにアクセスする。","Webサーバに導入されたエージェントが認証サーバと連携して利用者認証を行い，クライアントは認証成功後に利用者に発行されるcookieを使用してSPにアクセスする。","認証サーバはKerberosプロトコルを使って利用者認証を行い，クライアントは認証成功後に発行されるチケットを使用してSPにアクセスする。","リバースプロキシで利用者認証が行われ，クライアントは認証成功後にリバースプロキシ経由でSPにアクセスする。","A"
"平成25年春期　問7 168問目／選択範囲の問題数675問","無線LAN環境に複数台のPC，複数台のアクセスポイント及び利用者認証情報を管理する1台のサーバがある。利用者認証とアクセス制御にIEEE802.1XとRADIUSを利用する場合の特徴はどれか。","","PCにはIEEE802.1Xのサプリカントを実装し，RADIUSクライアントの機能をもたせる。","アクセスポイントにはIEEE802.1Xのオーセンティケータを実装し，RADIUSクライアントの機能をもたせる。","アクセスポイントにはIEEE802.1Xのサプリカントを実装し，RADIUSサーバの機能をもたせる。","サーバにはIEEE802.1Xのオーセンティケータを実装し，RADIUSサーバの機能をもたせる。","I"
"平成28年春期　問3 169問目／選択範囲の問題数675問","PKIを構成するOCSPを利用する目的はどれか。","","誤って破棄してしまった秘密鍵の再発行処理の進捗状況を問い合わせる。","ディジタル証明書から生成した鍵情報の交換がOCSPクライアントとレスポンダの間で失敗した際，認証状態を確認する。","ディジタル証明書の失効情報を問い合わせる。","有効期限の切れたディジタル証明書の更新処理の進捗状況を確認する。","U"
"平成27年春期　問15 170問目／選択範囲の問題数675問","DNSの再帰的な問合せを使ったサービス不能攻撃(DNS amp攻撃)の踏み台にされることを防止する対策はどれか。","","DNSキャッシュサーバとコンテンツサーバに分離し，インターネット側からDNSキャッシュサーバに問合せできないようにする。","問合せされたドメインに関する情報をWhoisデータベースで確認する。","一つのDNSレコードに複数のサーバのIPアドレスを割り当て，サーバへのアクセスを振り分けて分散させるように設定する。","他のDNSサーバから送られてくるIPアドレスとホスト名の対応情報の信頼性を，ディジタル署名で確認するように設定する。","A"
"令和3年秋期　問6 172問目／選択範囲の問題数675問","ファイアウォールにおけるステートフルパケットインスペクションの特徴はどれか。","","IPアドレスの変換が行われることによって，内部のネットワーク構成を外部から隠蔽できる。","暗号化されたパケットのデータ部を復号して，許可された通信かどうかを判断できる。","過去に通過したリクエストパケットに対応付けられる戻りのパケットを通過させることができる。","パケットのデータ部をチェックして，アプリケーション層での不正なアクセスを防止できる。","U"
"令和2年秋期　問22 173問目／選択範囲の問題数675問","ソフトウェアの要件定義における利用者の分析で活用される，ソフトウェアの利用者を役割ごとに典型的な姿として描いた仮想の人物を何と呼ぶか。","","エピック","ステークホルダ","プロダクトオーナ","ペルソナ","E"
"平成27年秋期　問10 174問目／選択範囲の問題数675問","ICMP Flood攻撃に該当するものはどれか。","","HTTP GETコマンドを繰り返し送ることによって，攻撃対象のサーバにコンテンツ送信の負荷を掛ける。","pingコマンドを用いて大量の要求パケットを発信することによって，攻撃対象のサーバに至るまでの回線を過負荷にしてアクセスを妨害する。","コネクション開始要求に当たるSYNパケットを大量に送ることによって，攻撃対象のサーバに，接続要求ごとに応答を返すための過大な負荷を掛ける。","大量のTCPコネクションを確立することによって，攻撃対象のサーバに接続を維持させ続けてリソースを枯渇させる。","I"
"令和3年春期　問23 175問目／選択範囲の問題数675問","エクストリームプログラミング(XP:eXtreme Programming)における""テスト駆動開発""の特徴はどれか。","","最初のテストで，なるべく多くのバグを摘出する。","テストケースの改善を繰り返す。","テストでのカバレージを高めることを目的とする。","プログラムを書く前にテストコードを記述する。","E"
"平成30年春期　問24 176問目／選択範囲の問題数675問","サービス提供時間帯が毎日0～24時のITサービスにおいて，ある年の4月1日0時から6月30日24時までのシステム停止状況は表のとおりであった。システムバージョンアップ作業に伴う停止時間は，計画停止時間として顧客との間で合意されている。このとき，4月1日から6月30日までのITサービスの可用性は何%か。ここで，可用性(%)は小数第3位を四捨五入することとする。

〔システム停止状況〕","","95.52","95.70","99.52","99.63","U"
"平成26年春期　問5 177問目／選択範囲の問題数675問","PCに内蔵されるセキュリティチップ(TPM:Trusted Platform Module)がもつ機能はどれか。","","TPM間での共通鍵の交換","鍵ペアの生成","ディジタル証明書の発行","ネットワーク経由の乱数発信","I"
"平成21年春期　問21 178問目／選択範囲の問題数675問","ソフトウェアを保守するときなどに利用される技術であるリバースエンジニアリングの説明はどれか。","","ソースプログラムを解析してプログラム仕様書を作る。","ソースプログラムを探索して修正箇所や影響度を調べる。","ソースプログラムを見直して構造化プログラムに変換する。","ソースプログラムを分かりやすい表現に書き換える。","A"
"平成28年春期　問6 179問目／選択範囲の問題数675問","情報セキュリティにおけるエクスプロイトコードに該当するものはどれか。","","同じセキュリティ機能の製品に乗り換える場合に，CSVなど他の製品が取り込める形式でファイルを出力するプログラム","コンピュータに接続されたハードディスクなどの外部記憶装置や，その中に保存されている暗号化されたファイルなどを閲覧，管理するソフトウェア","セキュリティ製品を設計する際の早い段階から実際に動作する試作品を作成し，それに対する利用者の反応を見ながら徐々に完成に近づける開発手法","ソフトウェアやハードウェアの脆弱性を利用するために作成されたプログラム","E"
"平成31年春期　問1 180問目／選択範囲の問題数675問","CRL(Certificate Revocation List)に掲載されるものはどれか。","","有効期限切れになったディジタル証明書の公開鍵","有効期限切れになったディジタル証明書のシリアル番号","有効期限内に失効したディジタル証明書の公開鍵","有効期限内に失効したディジタル証明書のシリアル番号","E"
"平成24年秋期　問11 181問目／選択範囲の問題数675問","標準化団体OASISが，Webサイト間で認証，属性及び認可の情報を安全に交換するために策定したフレームワークはどれか。","","SAML","SOAP","XKMS","XML Signature","A"
"平成23年秋期　問8 182問目／選択範囲の問題数675問","DNSサーバに格納されるネットワーク情報のうち，第三者に公開する必要のない情報が攻撃に利用されることを防止するための，プライマリDNSサーバの設定はどれか。","","SOAレコードのシリアル番号を更新する。","外部のDNSサーバにリソースレコードがキャッシュされる時間を短く設定する。","ゾーン転送を許可するDNSサーバを限定する。","ラウンドロビン設定を行う。","U"
"平成30年春期　問8 183問目／選択範囲の問題数675問","X.509におけるCRL(Certificate Revocation List)に関する記述のうち，適切なものはどれか。","","PKIの利用者は，認証局の公開鍵がWebブラウザに組み込まれていれば，CRLを参照しなくてもよい。","認証局は，発行した全てのディジタル証明書の有効期限をCRLに登録する。","認証局は，発行したディジタル証明書のうち，失効したものは，シリアル番号を失効後1年間CRLに登録するよう義務付けられている。","認証局は，有効期限内のディジタル証明書のシリアル番号をCRLに登録することがある。","E"
"令和4年秋期　問11 184問目／選択範囲の問題数675問","クリックジャッキング攻撃に有効な対策はどれか。","","cookieに，HttpOnly属性を設定する。","cookieに，Secure属性を設定する。","HTTPレスポンスヘッダーに，Strict-Transport-Securityを設定する。","HTTPレスポンスヘッダーに，X-Frame-Optionsを設定する。","E"
"平成28年秋期　問4 185問目／選択範囲の問題数675問","XMLディジタル署名の特徴のうち，適切なものはどれか。","","XML文書中の，指定したエレメントに対してデタッチ署名(Detached Signature)することができる。","エンベローピング署名(Enveloping Signature)では一つの署名対象に必ず複数の署名を付ける。","署名形式として，CMS(Cryptographic Message Syntax)を用いる。","署名対象と署名アルゴリズムをASN.1によって記述する。","A"
"令和元年秋期　問13 186問目／選択範囲の問題数675問","マルチベクトル型DDoS攻撃に該当するものはどれか。","","DNSリフレクタ攻撃によってDNSサービスを停止させ，複数のPCでの名前解決を妨害する。","Webサイトに対して，SYN Flood攻撃とHTTP POST Flood攻撃を同時に行う。","管理者用IDのパスワードを初期設定のままで利用している複数のIoT機器を感染させ，それらのIoT機器から，WebサイトにUDP Flood攻撃を行う。","ファイアウォールでのパケットの送信順序を不正に操作するパケットを複数送信することによって，ファイアウォールのCPUやメモリを枯渇させる。","I"
"平成27年秋期　問18 187問目／選択範囲の問題数675問","DNSのMXレコードで指定するものはどれか。","","宛先ドメインへの電子メールを受け付けるメールサーバ","エラーが発生したときの通知先のメールアドレス","複数のDNSサーバが動作しているときのマスタDNSサーバ","メーリングリストを管理しているサーバ","A"
